year,county,state,ag_district,yield,type,units
2002,BARNES,NORTH DAKOTA,EAST CENTRAL,229000.0,"wheat, spring, (excl durum) - acres harvested",acres
1997,BARNES,NORTH DAKOTA,EAST CENTRAL,340000.0,"wheat, spring, (excl durum) - acres harvested",acres
1978,BARNES,NORTH DAKOTA,EAST CENTRAL,222700.0,"wheat, spring, (excl durum) - acres harvested",acres
1987,BARNES,NORTH DAKOTA,EAST CENTRAL,260000.0,"wheat, spring, (excl durum) - acres harvested",acres
1974,BARNES,NORTH DAKOTA,EAST CENTRAL,250500.0,"wheat, spring, (excl durum) - acres harvested",acres
2007,BARNES,NORTH DAKOTA,EAST CENTRAL,138000.0,"wheat, spring, (excl durum) - acres harvested",acres
1995,BARNES,NORTH DAKOTA,EAST CENTRAL,326000.0,"wheat, spring, (excl durum) - acres harvested",acres
1996,BARNES,NORTH DAKOTA,EAST CENTRAL,359000.0,"wheat, spring, (excl durum) - acres harvested",acres
1998,BARNES,NORTH DAKOTA,EAST CENTRAL,268000.0,"wheat, spring, (excl durum) - acres harvested",acres
1999,BARNES,NORTH DAKOTA,EAST CENTRAL,215000.0,"wheat, spring, (excl durum) - acres harvested",acres
2001,BARNES,NORTH DAKOTA,EAST CENTRAL,258000.0,"wheat, spring, (excl durum) - acres harvested",acres
2005,BARNES,NORTH DAKOTA,EAST CENTRAL,205000.0,"wheat, spring, (excl durum) - acres harvested",acres
2000,BARNES,NORTH DAKOTA,EAST CENTRAL,262000.0,"wheat, spring, (excl durum) - acres harvested",acres
1993,BARNES,NORTH DAKOTA,EAST CENTRAL,339000.0,"wheat, spring, (excl durum) - acres harvested",acres
1992,BARNES,NORTH DAKOTA,EAST CENTRAL,370000.0,"wheat, spring, (excl durum) - acres harvested",acres
1989,BARNES,NORTH DAKOTA,EAST CENTRAL,328500.0,"wheat, spring, (excl durum) - acres harvested",acres
2004,BARNES,NORTH DAKOTA,EAST CENTRAL,173000.0,"wheat, spring, (excl durum) - acres harvested",acres
1966,BARNES,NORTH DAKOTA,EAST CENTRAL,112000.0,"wheat, spring, (excl durum) - acres harvested",acres
1968,BARNES,NORTH DAKOTA,EAST CENTRAL,134000.0,"wheat, spring, (excl durum) - acres harvested",acres
1969,BARNES,NORTH DAKOTA,EAST CENTRAL,115000.0,"wheat, spring, (excl durum) - acres harvested",acres
1970,BARNES,NORTH DAKOTA,EAST CENTRAL,156000.0,"wheat, spring, (excl durum) - acres harvested",acres
1971,BARNES,NORTH DAKOTA,EAST CENTRAL,208000.0,"wheat, spring, (excl durum) - acres harvested",acres
1972,BARNES,NORTH DAKOTA,EAST CENTRAL,175000.0,"wheat, spring, (excl durum) - acres harvested",acres
1980,BARNES,NORTH DAKOTA,EAST CENTRAL,250000.0,"wheat, spring, (excl durum) - acres harvested",acres
1981,BARNES,NORTH DAKOTA,EAST CENTRAL,268000.0,"wheat, spring, (excl durum) - acres harvested",acres
1983,BARNES,NORTH DAKOTA,EAST CENTRAL,185000.0,"wheat, spring, (excl durum) - acres harvested",acres
1984,BARNES,NORTH DAKOTA,EAST CENTRAL,200000.0,"wheat, spring, (excl durum) - acres harvested",acres
1986,BARNES,NORTH DAKOTA,EAST CENTRAL,239000.0,"wheat, spring, (excl durum) - acres harvested",acres
