year,county,state,ag_district,yield,type,units
2018,HUGHES,SOUTH DAKOTA,CENTRAL,33000.0,"wheat, winter - acres harvested",acres
2018,SULLY*,SOUTH DAKOTA,CENTRAL,55600.0,"wheat, winter - acres harvested",acres
2018,POTTER,SOUTH DAKOTA,NORTH CENTRAL,20700.0,"wheat, winter - acres harvested",acres
2018,STANLEY,SOUTH DAKOTA,WEST CENTRAL,39800.0,"wheat, winter - acres harvested",acres
2017,POTTER,SOUTH DAKOTA,NORTH CENTRAL,10100.0,"wheat, winter - acres harvested",acres
2016,HUGHES,SOUTH DAKOTA,CENTRAL,51900.0,"wheat, winter - acres harvested",acres
2016,SULLY*,SOUTH DAKOTA,CENTRAL,109500.0,"wheat, winter - acres harvested",acres
2016,POTTER,SOUTH DAKOTA,NORTH CENTRAL,nan,"wheat, winter - acres harvested",acres
2016,DEWEY,SOUTH DAKOTA,NORTHWEST,nan,"wheat, winter - acres harvested",acres
2015,HUGHES,SOUTH DAKOTA,CENTRAL,20300.0,"wheat, winter - acres harvested",acres
2015,SULLY*,SOUTH DAKOTA,CENTRAL,63100.0,"wheat, winter - acres harvested",acres
2014,HUGHES,SOUTH DAKOTA,CENTRAL,63400.0,"wheat, winter - acres harvested",acres
2014,HYDE,SOUTH DAKOTA,CENTRAL,22600.0,"wheat, winter - acres harvested",acres
2014,SULLY*,SOUTH DAKOTA,CENTRAL,112700.0,"wheat, winter - acres harvested",acres
2014,POTTER,SOUTH DAKOTA,NORTH CENTRAL,49300.0,"wheat, winter - acres harvested",acres
2013,HUGHES,SOUTH DAKOTA,CENTRAL,nan,"wheat, winter - acres harvested",acres
2013,SULLY*,SOUTH DAKOTA,CENTRAL,nan,"wheat, winter - acres harvested",acres
2013,POTTER,SOUTH DAKOTA,NORTH CENTRAL,nan,"wheat, winter - acres harvested",acres
2013,DEWEY,SOUTH DAKOTA,NORTHWEST,nan,"wheat, winter - acres harvested",acres
2012,HUGHES,SOUTH DAKOTA,CENTRAL,51000.0,"wheat, winter - acres harvested",acres
2012,HYDE,SOUTH DAKOTA,CENTRAL,nan,"wheat, winter - acres harvested",acres
2012,SULLY*,SOUTH DAKOTA,CENTRAL,102600.0,"wheat, winter - acres harvested",acres
2012,POTTER,SOUTH DAKOTA,NORTH CENTRAL,46500.0,"wheat, winter - acres harvested",acres
2012,DEWEY,SOUTH DAKOTA,NORTHWEST,23300.0,"wheat, winter - acres harvested",acres
2012,STANLEY,SOUTH DAKOTA,WEST CENTRAL,nan,"wheat, winter - acres harvested",acres
2011,HUGHES,SOUTH DAKOTA,CENTRAL,69800.0,"wheat, winter - acres harvested",acres
2011,SULLY*,SOUTH DAKOTA,CENTRAL,118000.0,"wheat, winter - acres harvested",acres
2011,POTTER,SOUTH DAKOTA,NORTH CENTRAL,64800.0,"wheat, winter - acres harvested",acres
2011,DEWEY,SOUTH DAKOTA,NORTHWEST,27500.0,"wheat, winter - acres harvested",acres
2010,HUGHES,SOUTH DAKOTA,CENTRAL,71700.0,"wheat, winter - acres harvested",acres
2010,HYDE,SOUTH DAKOTA,CENTRAL,nan,"wheat, winter - acres harvested",acres
2010,SULLY*,SOUTH DAKOTA,CENTRAL,122100.0,"wheat, winter - acres harvested",acres
2010,POTTER,SOUTH DAKOTA,NORTH CENTRAL,60700.0,"wheat, winter - acres harvested",acres
2010,DEWEY,SOUTH DAKOTA,NORTHWEST,24600.0,"wheat, winter - acres harvested",acres
2009,HUGHES,SOUTH DAKOTA,CENTRAL,56400.0,"wheat, winter - acres harvested",acres
2009,SULLY*,SOUTH DAKOTA,CENTRAL,116500.0,"wheat, winter - acres harvested",acres
2009,POTTER,SOUTH DAKOTA,NORTH CENTRAL,61700.0,"wheat, winter - acres harvested",acres
2009,DEWEY,SOUTH DAKOTA,NORTHWEST,17800.0,"wheat, winter - acres harvested",acres
2008,SULLY*,SOUTH DAKOTA,CENTRAL,124800.0,"wheat, winter - acres harvested",acres
2008,POTTER,SOUTH DAKOTA,NORTH CENTRAL,nan,"wheat, winter - acres harvested",acres
2007,HUGHES,SOUTH DAKOTA,CENTRAL,76200.0,"wheat, winter - acres harvested",acres
2007,HYDE,SOUTH DAKOTA,CENTRAL,53000.0,"wheat, winter - acres harvested",acres
2007,SULLY*,SOUTH DAKOTA,CENTRAL,155100.0,"wheat, winter - acres harvested",acres
2007,POTTER,SOUTH DAKOTA,NORTH CENTRAL,74000.0,"wheat, winter - acres harvested",acres
2007,DEWEY,SOUTH DAKOTA,NORTHWEST,23200.0,"wheat, winter - acres harvested",acres
2007,STANLEY,SOUTH DAKOTA,WEST CENTRAL,89800.0,"wheat, winter - acres harvested",acres
2006,HUGHES,SOUTH DAKOTA,CENTRAL,37500.0,"wheat, winter - acres harvested",acres
2006,HYDE,SOUTH DAKOTA,CENTRAL,38800.0,"wheat, winter - acres harvested",acres
2006,SULLY*,SOUTH DAKOTA,CENTRAL,74500.0,"wheat, winter - acres harvested",acres
2006,POTTER,SOUTH DAKOTA,NORTH CENTRAL,47200.0,"wheat, winter - acres harvested",acres
2006,DEWEY,SOUTH DAKOTA,NORTHWEST,6000.0,"wheat, winter - acres harvested",acres
2006,STANLEY,SOUTH DAKOTA,WEST CENTRAL,41800.0,"wheat, winter - acres harvested",acres
