year,county,state,rangeland_lb_acre,wheat_winter_acres_harvested,wheat_winter_acres_planted,wheat_winter_bu,wheat_winter_bu_acre,wheat_spring_acres_harvested,wheat_spring_acres_planted,wheat_spring_bu,wheat_spring_bu_acre
1949,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,192000.0,200000.0,1716000.0,8.9
1949,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,346500.0,353500.0,3612000.0,10.4
1950,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,182500.0,186500.0,3225000.0,17.7
1950,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,327000.0,329000.0,5700000.0,17.4
1951,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,207000.0,212000.0,2232000.0,10.8
1951,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,367000.0,373000.0,3625000.0,9.9
1952,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,148000.0,213000.0,1086000.0,7.3
1952,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,341000.0,367000.0,3030000.0,8.9
1953,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,197000.0,208000.0,2206000.0,11.2
1953,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,383000.0,389000.0,6122000.0,16.0
1954,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,147800.0,154800.0,1517000.0,10.3
1954,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,269400.0,272400.0,2542000.0,9.4
1955,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,139100.0,140100.0,2519800.0,18.1
1955,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,248300.0,249300.0,4576000.0,18.4
1956,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,114600.0,133600.0,1428200.0,12.5
1956,SCOTTS BLUFF,NEBRASKA,nan,17460.0,18040.0,518940.0,29.7,nan,nan,nan,nan
1956,SIOUX,NEBRASKA,nan,6430.0,7190.0,146320.0,22.8,nan,nan,nan,nan
1956,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,222500.0,240500.0,3100000.0,13.9
1957,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,110500.0,112500.0,1890000.0,17.1
1957,SCOTTS BLUFF,NEBRASKA,nan,15210.0,17910.0,464310.0,30.5,nan,nan,nan,nan
1957,SIOUX,NEBRASKA,nan,5710.0,6620.0,170630.0,29.9,nan,nan,nan,nan
1957,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,155700.0,160700.0,2310200.0,14.8
1958,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,122100.0,123100.0,2490000.0,20.4
1958,SCOTTS BLUFF,NEBRASKA,nan,15660.0,20080.0,436680.0,27.9,nan,nan,nan,nan
1958,SIOUX,NEBRASKA,nan,6230.0,7170.0,171650.0,27.6,nan,nan,nan,nan
1958,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,216300.0,226300.0,3093000.0,14.3
1959,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,126700.0,130700.0,1324400.0,10.5
1959,SCOTTS BLUFF,NEBRASKA,nan,15580.0,16420.0,415720.0,26.7,nan,nan,nan,nan
1959,SIOUX,NEBRASKA,nan,5360.0,6700.0,118990.0,22.2,nan,nan,nan,nan
1959,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,210000.0,212000.0,2186000.0,10.4
1960,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,119000.0,122000.0,1935000.0,16.3
1960,SCOTTS BLUFF,NEBRASKA,nan,15040.0,15700.0,486240.0,32.3,nan,nan,nan,nan
1960,SIOUX,NEBRASKA,nan,6200.0,6780.0,172130.0,27.8,nan,nan,nan,nan
1960,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,193300.0,195300.0,3354700.0,17.4
1961,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,101400.0,125400.0,826800.0,8.2
1961,SCOTTS BLUFF,NEBRASKA,nan,16310.0,17540.0,406060.0,24.9,nan,nan,nan,nan
1961,SIOUX,NEBRASKA,nan,6240.0,6790.0,154180.0,24.7,nan,nan,nan,nan
1961,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,172800.0,195800.0,1150200.0,6.7
1962,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,92500.0,95500.0,2623000.0,28.4
1962,SCOTTS BLUFF,NEBRASKA,nan,13300.0,18200.0,252070.0,19.0,nan,nan,nan,nan
1962,SIOUX,NEBRASKA,nan,4980.0,6740.0,68760.0,13.8,nan,nan,nan,nan
1962,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,161500.0,164500.0,4477000.0,27.7
1963,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,96500.0,111000.0,1931000.0,20.0
1963,SCOTTS BLUFF,NEBRASKA,nan,9280.0,14250.0,193320.0,20.8,nan,nan,nan,nan
1963,SIOUX,NEBRASKA,nan,5210.0,6310.0,127910.0,24.6,nan,nan,nan,nan
1963,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,176000.0,178000.0,4554000.0,25.9
1964,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,94500.0,111000.0,1674400.0,17.7
1964,SCOTTS BLUFF,NEBRASKA,nan,12020.0,12700.0,311200.0,25.9,nan,nan,nan,nan
1964,SIOUX,NEBRASKA,nan,5450.0,6330.0,136310.0,25.0,nan,nan,nan,nan
1964,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,179600.0,180600.0,4011000.0,22.3
1965,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,119700.0,120700.0,2580600.0,21.6
1965,SCOTTS BLUFF,NEBRASKA,nan,7570.0,15150.0,128550.0,17.0,nan,nan,nan,nan
1965,SIOUX,NEBRASKA,nan,4180.0,5250.0,72040.0,17.2,nan,nan,nan,nan
1965,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,213000.0,222000.0,4550500.0,21.4
1966,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,112000.0,113000.0,2228500.0,19.9
1966,SCOTTS BLUFF,NEBRASKA,nan,12590.0,15950.0,368040.0,29.2,nan,nan,nan,nan
1966,SIOUX,NEBRASKA,nan,5500.0,5900.0,196500.0,35.7,nan,nan,nan,nan
1966,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,195500.0,197500.0,3899500.0,19.9
1967,BUTTE,SOUTH DAKOTA,nan,6500.0,6700.0,299000.0,46.0,nan,nan,nan,nan
1967,HARDING,SOUTH DAKOTA,nan,6000.0,6300.0,198000.0,33.0,nan,nan,nan,nan
1967,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,132600.0,134600.0,2617500.0,19.7
1967,SCOTTS BLUFF,NEBRASKA,nan,14480.0,17650.0,367350.0,25.4,nan,nan,nan,nan
1967,SIOUX,NEBRASKA,nan,6410.0,6870.0,247120.0,38.6,nan,nan,nan,nan
1967,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,243400.0,244400.0,4001400.0,16.4
1968,BUTTE,SOUTH DAKOTA,nan,5600.0,6000.0,123200.0,22.0,nan,nan,nan,nan
1968,HARDING,SOUTH DAKOTA,nan,6300.0,7000.0,167000.0,26.5,nan,nan,nan,nan
1968,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,106100.0,106600.0,2488600.0,23.5
1968,SCOTTS BLUFF,NEBRASKA,nan,12190.0,15280.0,341450.0,28.0,nan,nan,nan,nan
1968,SIOUX,NEBRASKA,nan,5930.0,6730.0,204840.0,34.5,nan,nan,nan,nan
1968,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,226100.0,227100.0,4729200.0,20.9
1969,BUTTE,SOUTH DAKOTA,nan,5400.0,6600.0,129600.0,24.0,nan,nan,nan,nan
1969,HARDING,SOUTH DAKOTA,nan,6300.0,8000.0,132300.0,21.0,nan,nan,nan,nan
1969,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,88600.0,90500.0,2280800.0,25.7
1969,SCOTTS BLUFF,NEBRASKA,nan,9920.0,15500.0,157850.0,15.9,nan,nan,nan,nan
1969,SIOUX,NEBRASKA,nan,4140.0,7330.0,81120.0,19.6,nan,nan,nan,nan
1969,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,202500.0,204500.0,5664500.0,28.0
1970,BUTTE,SOUTH DAKOTA,nan,5800.0,6200.0,150800.0,26.0,nan,nan,nan,nan
1970,HARDING,SOUTH DAKOTA,nan,2100.0,2200.0,36800.0,17.5,nan,nan,nan,nan
1970,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,82200.0,83100.0,1652700.0,20.1
1970,SCOTTS BLUFF,NEBRASKA,nan,12000.0,12270.0,442500.0,36.9,nan,nan,nan,nan
1970,SIOUX,NEBRASKA,nan,5400.0,6080.0,183400.0,34.0,nan,nan,nan,nan
1970,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,217400.0,220400.0,4339000.0,20.0
1971,BUTTE,SOUTH DAKOTA,nan,9500.0,10000.0,370500.0,39.0,nan,nan,nan,nan
1971,HARDING,SOUTH DAKOTA,nan,2400.0,2500.0,72000.0,30.0,nan,nan,nan,nan
1971,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,106800.0,108200.0,2826900.0,26.5
