year,county,state,ag_district,yield,type,units
2018,TRAILL,NORTH DAKOTA,EAST CENTRAL,98200.0,"wheat, spring, (excl durum) - acres harvested",acres
2018,TRAILL,NORTH DAKOTA,EAST CENTRAL,98400.0,"wheat, spring, (excl durum) - acres planted",acres
2018,TRAILL,NORTH DAKOTA,EAST CENTRAL,5661000.0,"wheat, spring, (excl durum) - production, measured in bu",bu
2018,TRAILL,NORTH DAKOTA,EAST CENTRAL,57.6,"wheat, spring, (excl durum) - yield, measured in bu / acre",bu_acre
2018,TRAILL,NORTH DAKOTA,EAST CENTRAL,nan,"wheat, spring, (excl durum), irrigated - acres harvested",acres
2018,TRAILL,NORTH DAKOTA,EAST CENTRAL,nan,"wheat, spring, (excl durum), irrigated - acres planted",acres
2018,TRAILL,NORTH DAKOTA,EAST CENTRAL,nan,"wheat, spring, (excl durum), irrigated - production, measured in bu",bu
2018,TRAILL,NORTH DAKOTA,EAST CENTRAL,nan,"wheat, spring, (excl durum), irrigated - yield, measured in bu / acre",bu_acre
2018,TRAILL,NORTH DAKOTA,EAST CENTRAL,nan,"wheat, spring, (excl durum), non-irrigated - acres harvested",acres
2018,TRAILL,NORTH DAKOTA,EAST CENTRAL,nan,"wheat, spring, (excl durum), non-irrigated - acres planted",acres
2018,TRAILL,NORTH DAKOTA,EAST CENTRAL,nan,"wheat, spring, (excl durum), non-irrigated - production, measured in bu",bu
2018,TRAILL,NORTH DAKOTA,EAST CENTRAL,nan,"wheat, spring, (excl durum), non-irrigated - yield, measured in bu / acre",bu_acre
2018,TRAILL,NORTH DAKOTA,EAST CENTRAL,3500.0,rangeland,lb_acre
2017,TRAILL,NORTH DAKOTA,EAST CENTRAL,70600.0,"wheat, spring, (excl durum) - acres harvested",acres
2017,TRAILL,NORTH DAKOTA,EAST CENTRAL,70700.0,"wheat, spring, (excl durum) - acres planted",acres
2017,TRAILL,NORTH DAKOTA,EAST CENTRAL,5006000.0,"wheat, spring, (excl durum) - production, measured in bu",bu
2017,TRAILL,NORTH DAKOTA,EAST CENTRAL,70.9,"wheat, spring, (excl durum) - yield, measured in bu / acre",bu_acre
2017,TRAILL,NORTH DAKOTA,EAST CENTRAL,nan,"wheat, spring, (excl durum), irrigated - acres harvested",acres
2017,TRAILL,NORTH DAKOTA,EAST CENTRAL,nan,"wheat, spring, (excl durum), irrigated - acres planted",acres
2017,TRAILL,NORTH DAKOTA,EAST CENTRAL,nan,"wheat, spring, (excl durum), irrigated - production, measured in bu",bu
2017,TRAILL,NORTH DAKOTA,EAST CENTRAL,nan,"wheat, spring, (excl durum), irrigated - yield, measured in bu / acre",bu_acre
2017,TRAILL,NORTH DAKOTA,EAST CENTRAL,nan,"wheat, spring, (excl durum), non-irrigated - acres harvested",acres
